[Sun May 04 13:33:13.738485 2025] [fcgid:warn] [pid 2468:tid 1364] [client 127.0.0.1:52052] mod_fcgid: read timeout from pipe, referer: http://newlocalwpsite.local/wp-admin/plugin-install.php?s=simply-static&tab=search&type=term
[Sun May 04 13:33:13.739487 2025] [core:error] [pid 2468:tid 1364] [client 127.0.0.1:52052] End of script output before headers: admin-ajax.php, referer: http://newlocalwpsite.local/wp-admin/plugin-install.php?s=simply-static&tab=search&type=term
[Mon May 05 08:09:36.200633 2025] [fcgid:warn] [pid 2468:tid 1372] [client 127.0.0.1:57938] mod_fcgid: read timeout from pipe, referer: http://newlocalwpsite.local/wp-admin/post-new.php
[Mon May 05 08:09:36.214620 2025] [core:error] [pid 2468:tid 1372] [client 127.0.0.1:57938] End of script output before headers: admin-ajax.php, referer: http://newlocalwpsite.local/wp-admin/post-new.php
[Mon May 05 08:11:36.239556 2025] [fcgid:warn] [pid 2468:tid 1372] [client 127.0.0.1:58077] mod_fcgid: read timeout from pipe, referer: http://newlocalwpsite.local/wp-admin/post-new.php
[Mon May 05 08:11:36.239556 2025] [core:error] [pid 2468:tid 1372] [client 127.0.0.1:58077] End of script output before headers: admin-ajax.php, referer: http://newlocalwpsite.local/wp-admin/post-new.php
[Mon May 05 09:06:03.291116 2025] [fcgid:warn] [pid 2468:tid 1376] [client 127.0.0.1:58718] mod_fcgid: read timeout from pipe, referer: http://newlocalwpsite.local/wp-admin/post-new.php
[Mon May 05 09:06:03.292114 2025] [core:error] [pid 2468:tid 1376] [client 127.0.0.1:58718] End of script output before headers: admin-ajax.php, referer: http://newlocalwpsite.local/wp-admin/post-new.php
[Mon May 05 09:08:04.237934 2025] [fcgid:warn] [pid 2468:tid 1376] [client 127.0.0.1:58746] mod_fcgid: read timeout from pipe, referer: http://newlocalwpsite.local/wp-admin/post-new.php
[Mon May 05 09:08:04.237934 2025] [core:error] [pid 2468:tid 1376] [client 127.0.0.1:58746] End of script output before headers: admin-ajax.php, referer: http://newlocalwpsite.local/wp-admin/post-new.php
[Mon May 05 09:46:22.416262 2025] [fcgid:warn] [pid 2468:tid 1376] [client 127.0.0.1:59109] mod_fcgid: read timeout from pipe, referer: http://newlocalwpsite.local/wp-admin/post-new.php
[Mon May 05 09:46:22.416262 2025] [core:error] [pid 2468:tid 1376] [client 127.0.0.1:59109] End of script output before headers: admin-ajax.php, referer: http://newlocalwpsite.local/wp-admin/post-new.php
[Mon May 05 11:06:50.243341 2025] [fcgid:warn] [pid 2468:tid 1372] [client 127.0.0.1:60399] mod_fcgid: read timeout from pipe, referer: http://newlocalwpsite.local/wp-admin/post.php?post=13&action=edit
[Mon May 05 11:06:50.244338 2025] [core:error] [pid 2468:tid 1372] [client 127.0.0.1:60399] End of script output before headers: index.php, referer: http://newlocalwpsite.local/wp-admin/post.php?post=13&action=edit
[Mon May 05 11:06:53.746076 2025] [fcgid:warn] [pid 2468:tid 1376] [client 127.0.0.1:60403] mod_fcgid: read timeout from pipe, referer: http://newlocalwpsite.local/wp-admin/post.php?post=13&action=edit
[Mon May 05 11:06:53.870879 2025] [core:error] [pid 2468:tid 1376] [client 127.0.0.1:60403] End of script output before headers: admin-ajax.php, referer: http://newlocalwpsite.local/wp-admin/post.php?post=13&action=edit
[Mon May 05 11:31:26.034387 2025] [fcgid:warn] [pid 2468:tid 1368] [client 127.0.0.1:62158] mod_fcgid: read timeout from pipe, referer: http://newlocalwpsite.local/wp-admin/edit.php
[Mon May 05 11:31:26.034387 2025] [core:error] [pid 2468:tid 1368] [client 127.0.0.1:62158] End of script output before headers: post.php, referer: http://newlocalwpsite.local/wp-admin/edit.php
[Mon May 05 12:54:36.901651 2025] [fcgid:warn] [pid 2468:tid 1356] [client 127.0.0.1:51145] mod_fcgid: read timeout from pipe, referer: http://newlocalwpsite.local/wp-admin/post.php?post=13&action=edit
[Mon May 05 12:54:36.902638 2025] [core:error] [pid 2468:tid 1356] [client 127.0.0.1:51145] End of script output before headers: admin-ajax.php, referer: http://newlocalwpsite.local/wp-admin/post.php?post=13&action=edit
[Mon May 05 13:19:55.352141 2025] [fcgid:warn] [pid 2468:tid 1364] (OS 109)Ha terminado la canalización.  : [client 127.0.0.1:52586] mod_fcgid: get overlap result error
[Mon May 05 13:19:55.368118 2025] [fcgid:warn] [pid 2468:tid 1364] (OS 109)Ha terminado la canalización.  : [client 127.0.0.1:52586] mod_fcgid: ap_pass_brigade failed in handle_request_ipc function
[Mon May 05 15:28:29.526585 2025] [fcgid:warn] [pid 26796:tid 1372] [client 127.0.0.1:61646] mod_fcgid: read timeout from pipe, referer: http://newlocalwpsite.local/wp-admin/themes.php
[Mon May 05 15:28:29.527584 2025] [core:error] [pid 26796:tid 1372] [client 127.0.0.1:61646] End of script output before headers: admin-ajax.php, referer: http://newlocalwpsite.local/wp-admin/themes.php
[Mon May 05 15:30:34.477152 2025] [fcgid:warn] [pid 26796:tid 1372] [client 127.0.0.1:61910] mod_fcgid: read timeout from pipe, referer: http://newlocalwpsite.local/wp-admin/themes.php
[Mon May 05 15:30:34.477152 2025] [core:error] [pid 26796:tid 1372] [client 127.0.0.1:61910] End of script output before headers: admin-ajax.php, referer: http://newlocalwpsite.local/wp-admin/themes.php
